CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Kyrgyz Republic,KGZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.19959162949262
Lao PDR,LAO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.18891050586713296
Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.786801436513601
Lebanon,LBN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.6683125079609
Lesotho,LSO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.08226960820483
Liberia,LBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.218425012023314
Libya,LBY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.204914344123349
Liechtenstein,LIE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.4050962038481498
Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.53755851412512
Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.8978116975694
"Macao SAR, China",MAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.13306090195031
"Macedonia, FYR",MKD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.51921014111123
Madagascar,MDG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.112992805389691
Malawi,MWI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0792314846186132
Malaysia,MYS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.898823573468209
Maldives,MDV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.92776392572944
Mali,MLI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0799563786058226
Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.03432163894414
Marshall Islands,MHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.95420719057498
Mauritania,MRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.6272254637992131
Mauritius,MUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1270708174039705
Mexico,MEX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.87610761080744
"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.24033592330589
Moldova,MDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.39882179311941
Mongolia,MNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.9151465310462905
Montenegro,MNE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.14554758345308
Morocco,MAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.73791554669125
Mozambique,MOZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.131189805492051
Myanmar,MMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.200285212139622
Namibia,NAM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.23916048891129
Nepal,NPL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.159474454709674
Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.0644897398765
New Caledonia,NCL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,15.173295275590599
New Zealand,NZL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.124050866788322
Nicaragua,NIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8435419549649459
Niger,NER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0839581777578064
Nigeria,NGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.537497560078966
Norway,NOR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.19287906857298
Oman,OMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.2038945134942
Pakistan,PAK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.9411711250776528
Palau,PLW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.8554304571484
Panama,PAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.6252762441067703
Papua New Guinea,PNG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.746895234112231
Paraguay,PRY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.841915242121446
Peru,PER,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.7832331442343
Philippines,PHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8678453433512341
Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.33578670557733
Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.7098496243450185
Qatar,QAT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,44.0189263670224
Romania,ROM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.21056012429912
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.647328232506304
Rwanda,RWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0628741973256297
Samoa,WSM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.25211007608011
Sao Tome and Principe,STP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.587909256438739
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,18.0724507178889
Senegal,SEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.588334149509437
Serbia,SRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.7991149969056295
Seychelles,SYC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.835706362004089
